name,role,manufacturer,device_type,platform,site,location,rack,position,face,status,tenant,serial,asset_tag,description,comments
R04-SRV-02,Server,Dell,PowerEdge R750,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-04,24,front,active,Sprintpark IT,DEMO-R04-SRV-02,SPK-RACK-04-U24F,"Two shelves, U24 and U25",Example data for demonstration. Not observed equipment.
R04-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-04,2,front,active,Sprintpark IT,DEMO-R04-PDU-A,SPK-RACK-04-U02F,,Example data for demonstration. Not observed equipment.
R04-PDU-B,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-04,1,front,active,Sprintpark IT,DEMO-R04-PDU-B,SPK-RACK-04-U01F,,Example data for demonstration. Not observed equipment.
R05-SW-01,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,40,front,active,Sprintpark IT,DEMO-R05-SW-01,SPK-RACK-05-U40F,In service,Example data for demonstration. Not observed equipment.
R05-SW-02,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,38,front,offline,Sprintpark IT,DEMO-R05-SW-02,SPK-RACK-05-U38F,"Powered down, still racked",Example data for demonstration. Not observed equipment.
R05-SW-03,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,36,front,planned,Sprintpark IT,DEMO-R05-SW-03,SPK-RACK-05-U36F,"Ordered, not yet delivered",Example data for demonstration. Not observed equipment.
R05-SW-04,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,34,front,staged,Sprintpark IT,DEMO-R05-SW-04,SPK-RACK-05-U34F,"Racked and cabled, not yet in service",Example data for demonstration. Not observed equipment.
R05-SW-05,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,32,front,failed,Sprintpark IT,DEMO-R05-SW-05,SPK-RACK-05-U32F,"Faulty, awaiting replacement",Example data for demonstration. Not observed equipment.
R05-SW-06,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,30,front,inventory,Sprintpark IT,DEMO-R05-SW-06,SPK-RACK-05-U30F,"Spare, held in the rack",Example data for demonstration. Not observed equipment.
R05-SW-07,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,28,front,decommissioning,Sprintpark IT,DEMO-R05-SW-07,SPK-RACK-05-U28F,Being removed this quarter,Example data for demonstration. Not observed equipment.
R05-FW-01,Firewall,Fortinet,FortiGate 100F,FortiOS 7.4,Sprintpark HQ,Ground Floor Comms Room,RACK-05,24,front,active,Sprintpark IT,DEMO-R05-FW-01,SPK-RACK-05-U24F,,Example data for demonstration. Not observed equipment.
R05-RTR-01,Router,Cisco,ISR 4331,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-05,23,front,decommissioning,Sprintpark IT,DEMO-R05-RTR-01,SPK-RACK-05-U23F,"Replaced by SD-WAN, removal booked",Example data for demonstration. Not observed equipment.
R05-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-05,2,front,active,Sprintpark IT,DEMO-R05-PDU-A,SPK-RACK-05-U02F,,Example data for demonstration. Not observed equipment.
R05-PDU-B,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-05,1,front,active,Sprintpark IT,DEMO-R05-PDU-B,SPK-RACK-05-U01F,,Example data for demonstration. Not observed equipment.
R06-ACC-01,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,40,front,active,Sprintpark IT,DEMO-R06-ACC-01,SPK-RACK-06-U40F,,Example data for demonstration. Not observed equipment.
R06-ACC-02,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,39,front,active,Sprintpark IT,DEMO-R06-ACC-02,SPK-RACK-06-U39F,,Example data for demonstration. Not observed equipment.
R06-ACC-03,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,38,front,active,Sprintpark IT,DEMO-R06-ACC-03,SPK-RACK-06-U38F,,Example data for demonstration. Not observed equipment.
R06-ACC-04,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,37,front,active,Sprintpark IT,DEMO-R06-ACC-04,SPK-RACK-06-U37F,,Example data for demonstration. Not observed equipment.
R06-ACC-05,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,36,front,active,Sprintpark IT,DEMO-R06-ACC-05,SPK-RACK-06-U36F,,Example data for demonstration. Not observed equipment.
R06-ACC-06,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-06,35,front,active,Sprintpark IT,DEMO-R06-ACC-06,SPK-RACK-06-U35F,,Example data for demonstration. Not observed equipment.
R06-PP-01,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,40,rear,active,Sprintpark IT,DEMO-R06-PP-01,SPK-RACK-06-U40R,"Rear-mounted, half depth, back to back with a switch",Example data for demonstration. Not observed equipment.
R06-PP-02,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,39,rear,active,Sprintpark IT,DEMO-R06-PP-02,SPK-RACK-06-U39R,"Rear-mounted, half depth, back to back with a switch",Example data for demonstration. Not observed equipment.
R06-PP-03,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,38,rear,active,Sprintpark IT,DEMO-R06-PP-03,SPK-RACK-06-U38R,"Rear-mounted, half depth, back to back with a switch",Example data for demonstration. Not observed equipment.
R06-PP-04,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,37,rear,active,Sprintpark IT,DEMO-R06-PP-04,SPK-RACK-06-U37R,"Rear-mounted, half depth, back to back with a switch",Example data for demonstration. Not observed equipment.
R06-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,2,rear,active,Sprintpark IT,DEMO-R06-PDU-A,SPK-RACK-06-U02R,,Example data for demonstration. Not observed equipment.
R06-PDU-B,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-06,1,rear,active,Sprintpark IT,DEMO-R06-PDU-B,SPK-RACK-06-U01R,,Example data for demonstration. Not observed equipment.
R07-SW-01,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,40,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-02,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,39,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-03,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,38,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-04,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,37,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-05,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,36,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-06,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,35,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-07,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,34,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-08,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,33,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-09,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,32,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-10,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,31,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-11,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,30,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-12,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,29,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-13,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,28,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-14,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,27,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-15,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,26,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-16,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,25,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-17,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,24,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-18,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,23,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-19,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,22,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-SW-20,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-07,21,front,active,Sprintpark IT,,,"Same model, same port count, no serial published, no asset tag. Only its shelf separates it from the other nineteen",Example data for demonstration. Not observed equipment.
R07-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-07,2,front,active,Sprintpark IT,DEMO-R07-PDU-A,SPK-RACK-07-U02F,,Example data for demonstration. Not observed equipment.
R07-PDU-B,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-07,1,front,active,Sprintpark IT,DEMO-R07-PDU-B,SPK-RACK-07-U01F,,Example data for demonstration. Not observed equipment.
R08-RTR-01,Router,Cisco,ISR 4331,Cisco IOS-XE 17,Sprintpark Manchester,Reception Cupboard,RACK-08,1,front,active,Sprintpark IT,DEMO-R08-RTR-01,SPK-RACK-08-U01F,Shelf 1 is the top of this cabinet,Example data for demonstration. Not observed equipment.
R08-FW-01,Firewall,Fortinet,FortiGate 100F,FortiOS 7.4,Sprintpark Manchester,Reception Cupboard,RACK-08,2,front,active,Sprintpark IT,DEMO-R08-FW-01,SPK-RACK-08-U02F,,Example data for demonstration. Not observed equipment.
R08-SW-01,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark Manchester,Reception Cupboard,RACK-08,3,front,active,Sprintpark IT,DEMO-R08-SW-01,SPK-RACK-08-U03F,,Example data for demonstration. Not observed equipment.
R08-SW-02,Access Switch,Cisco,Catalyst 9200-24P,Cisco IOS-XE 17,Sprintpark Manchester,Reception Cupboard,RACK-08,4,front,active,Sprintpark IT,DEMO-R08-SW-02,SPK-RACK-08-U04F,,Example data for demonstration. Not observed equipment.
R08-PP-01,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark Manchester,Reception Cupboard,RACK-08,6,front,active,Sprintpark IT,DEMO-R08-PP-01,SPK-RACK-08-U06F,,Example data for demonstration. Not observed equipment.
R08-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark Manchester,Reception Cupboard,RACK-08,12,front,active,Sprintpark IT,DEMO-R08-PDU-A,SPK-RACK-08-U12F,,Example data for demonstration. Not observed equipment.
