RackTrack object,RackTrack field,NetBox object,NetBox field,How,CMDB table,CMDB field,How,Notes
RearPort,deviceUid,dcim.rearport,device,reference,cmdb_ci_port,cmdb_ci,reference,
RearPort,name,dcim.rearport,name,direct field,cmdb_ci_port,"name, short_description",direct field,
RearPort,type,dcim.rearport,type,direct field,cmdb_ci_port,model_number,direct field,"the jack type, e.g. 8p8c"
RearPort,positions,dcim.rearport,positions,direct field,,,not supported,how many front positions map here; no CMDB field
FrontPort,uid,dcim.frontport,custom_fields.racktrack_uid,custom field,cmdb_ci_port,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
FrontPort,evidence,dcim.frontport,,not supported,cmdb_ci_port,comments,direct field,written into the provenance line
FrontPort,deviceUid,dcim.frontport,device,reference,cmdb_ci_port,cmdb_ci,reference,
FrontPort,name,dcim.frontport,name,direct field,cmdb_ci_port,"name, short_description",direct field,
FrontPort,type,dcim.frontport,type,direct field,cmdb_ci_port,model_number,direct field,
FrontPort,rearPortUid,dcim.frontport,rear_ports,reference,cmdb_rel_ci,Connects to::Connected by,relationship row,front port to its rear port
FrontPort,rearPortPosition,dcim.frontport,,not supported,,,not supported,which position on the rear port
PowerPort,uid,dcim.powerport,custom_fields.racktrack_uid,custom field,cmdb_ci_network_adapter,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
PowerPort,evidence,dcim.powerport,,not supported,cmdb_ci_network_adapter,comments,direct field,written into the provenance line
PowerPort,deviceUid,dcim.powerport,device,reference,cmdb_ci_network_adapter,cmdb_ci,reference,the device that draws the power
PowerPort,name,dcim.powerport,name,direct field,cmdb_ci_network_adapter,"name, short_description",direct field,
PowerOutlet,uid,dcim.poweroutlet,custom_fields.racktrack_uid,custom field,cmdb_ci_pdu,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
PowerOutlet,evidence,dcim.poweroutlet,,not supported,cmdb_ci_pdu,comments,direct field,written into the provenance line
PowerOutlet,deviceUid,dcim.poweroutlet,device,reference,cmdb_ci_pdu,cmdb_ci,reference,the PDU this outlet is on
PowerOutlet,name,dcim.poweroutlet,name,direct field,cmdb_ci_pdu,"name, short_description",direct field,
VLAN,uid,ipam.vlan,custom_fields.racktrack_uid,custom field,,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
VLAN,evidence,ipam.vlan,,not supported,,comments,direct field,written into the provenance line
VLAN,vid,ipam.vlan,vid,direct field,,,not supported,base ITSM CMDB has no VLAN table
VLAN,name,ipam.vlan,name,direct field,,,not supported,
VLAN,siteUid,ipam.vlan,site,reference,,,not supported,
Prefix,uid,ipam.prefix,custom_fields.racktrack_uid,custom field,cmdb_ci_ip_network_subnet,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
Prefix,evidence,ipam.prefix,,not supported,cmdb_ci_ip_network_subnet,comments,direct field,written into the provenance line
Prefix,prefix,ipam.prefix,prefix,direct field,cmdb_ci_ip_network_subnet,"name, cidr",direct field,
Prefix,vlanUid,ipam.prefix,vlan,reference,,,not supported,no native VLAN table to point at
Prefix,description,ipam.prefix,description,direct field,cmdb_ci_ip_network_subnet,short_description,direct field,
IPAddress,uid,ipam.ipaddress,custom_fields.racktrack_uid,custom field,cmdb_ci_allocated_ip_address,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
IPAddress,evidence,ipam.ipaddress,,not supported,cmdb_ci_allocated_ip_address,comments,direct field,written into the provenance line
IPAddress,address,ipam.ipaddress,address,direct field,cmdb_ci_allocated_ip_address,"name, ip_address, ip_version",direct field,
IPAddress,interfaceUid,ipam.ipaddress,assigned_object_id,reference,cmdb_rel_ci,Contains::Contained by,relationship row,the port holding this address
Cable,uid,dcim.cable,custom_fields.racktrack_uid,custom field,,correlation_id,direct field,our stable id; what makes a re-scan update rather than duplicate
Cable,evidence,dcim.cable,status,derived,,comments,direct field,decides connected vs planned
Cable,a,dcim.cable,a_terminations,direct field,cmdb_rel_ci,Connects to::Connected by,relationship row,"A end, the relationship parent"
Cable,b,dcim.cable,b_terminations,direct field,cmdb_rel_ci,Connects to::Connected by,relationship row,"B end, the relationship child"
Cable,type,dcim.cable,type,direct field,,,not supported,cat6 and friends; TNI plugin only
Cable,color,dcim.cable,color,direct field,,,not supported,
Cable,label,dcim.cable,label,direct field,,,not supported,
Cable,length,dcim.cable,length,direct field,,,not supported,TNI plugin only
Cable,lengthUnit,dcim.cable,length_unit,direct field,,,not supported,
Cable,description,dcim.cable,description,direct field,,,not supported,
Cable,status,dcim.cable,status,direct field,,,not supported,connected or planned; no CMDB equivalent
