name,role,manufacturer,device_type,platform,site,location,rack,position,face,status,airflow,tenant,serial,asset_tag,description,comments
ACC-14,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,19,front,active,front-to-rear,Sprintpark IT,DEMO19C920,SPK-RACK-02-U19,Access Switch at shelf 19,Example data for demonstration. Not observed equipment.
ACC-15,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,18,front,active,front-to-rear,Sprintpark IT,DEMO18C920,SPK-RACK-02-U18,Access Switch at shelf 18,Example data for demonstration. Not observed equipment.
ACC-16,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,17,front,active,front-to-rear,Sprintpark IT,DEMO17C920,SPK-RACK-02-U17,Access Switch at shelf 17,Example data for demonstration. Not observed equipment.
ACC-17,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,16,front,active,front-to-rear,Sprintpark IT,DEMO16C920,SPK-RACK-02-U16,Access Switch at shelf 16,Example data for demonstration. Not observed equipment.
ACC-18,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,15,front,active,front-to-rear,Sprintpark IT,DEMO15C920,SPK-RACK-02-U15,Access Switch at shelf 15,Example data for demonstration. Not observed equipment.
ACC-19,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,14,front,active,front-to-rear,Sprintpark IT,DEMO14C920,SPK-RACK-02-U14,Access Switch at shelf 14,Example data for demonstration. Not observed equipment.
ACC-20,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,13,front,active,front-to-rear,Sprintpark IT,DEMO13C920,SPK-RACK-02-U13,Access Switch at shelf 13,Example data for demonstration. Not observed equipment.
SRV-01,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,12,front,active,front-to-rear,Sprintpark IT,DEMO12R650,SPK-RACK-02-U12,Server at shelf 12,Example data for demonstration. Not observed equipment.
SRV-02,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,11,front,active,front-to-rear,Sprintpark IT,DEMO11R650,SPK-RACK-02-U11,Server at shelf 11,Example data for demonstration. Not observed equipment.
SRV-03,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,10,front,active,front-to-rear,Sprintpark IT,DEMO10R650,SPK-RACK-02-U10,Server at shelf 10,Example data for demonstration. Not observed equipment.
SRV-04,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,9,front,active,front-to-rear,Sprintpark IT,DEMO09R650,SPK-RACK-02-U09,Server at shelf 9,Example data for demonstration. Not observed equipment.
SRV-05,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,8,front,active,front-to-rear,Sprintpark IT,DEMO08R650,SPK-RACK-02-U08,Server at shelf 8,Example data for demonstration. Not observed equipment.
SRV-06,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,7,front,active,front-to-rear,Sprintpark IT,DEMO07R650,SPK-RACK-02-U07,Server at shelf 7,Example data for demonstration. Not observed equipment.
SRV-07,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,6,front,active,front-to-rear,Sprintpark IT,DEMO06R650,SPK-RACK-02-U06,Server at shelf 6,Example data for demonstration. Not observed equipment.
SRV-08,Server,Dell,PowerEdge R650,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-02,5,front,active,front-to-rear,Sprintpark IT,DEMO05R650,SPK-RACK-02-U05,Server at shelf 5,Example data for demonstration. Not observed equipment.
OOB-01,Console Server,Opengear,OpenGear CM8148,Opengear 23.03,Sprintpark HQ,Ground Floor Comms Room,RACK-02,4,front,active,front-to-rear,Sprintpark IT,DEMO04CM81,SPK-RACK-02-U04,Console Server at shelf 4,Example data for demonstration. Not observed equipment.
OOB-02,Console Server,Opengear,OpenGear CM8148,Opengear 23.03,Sprintpark HQ,Ground Floor Comms Room,RACK-02,3,front,active,front-to-rear,Sprintpark IT,DEMO03CM81,SPK-RACK-02-U03,Console Server at shelf 3,Example data for demonstration. Not observed equipment.
PDU-01,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,2,front,active,passive,Sprintpark IT,DEMO02AP88,SPK-RACK-02-U02,Power Distribution at shelf 2,Example data for demonstration. Not observed equipment.
PDU-02,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,1,front,active,passive,Sprintpark IT,DEMO01AP88,SPK-RACK-02-U01,Power Distribution at shelf 1,Example data for demonstration. Not observed equipment.
